record_id,timestamp,date,day_of_week,hour_of_day,month,location,vehicle_type,weather,event_type,total_slots,occupied_slots,available_slots,occupancy_rate,traffic_level,price_per_hour_inr,demand_level
47,2025-01-06 18:00:00,2025-01-06,0,18,1,Adyar,Car,Clear,None,40,23,17,0.575,Medium,34.66,Medium
48,2025-01-06 21:00:00,2025-01-06,0,21,1,Porur,Bike,Rain,None,60,31,29,0.517,Low,35.11,Low
49,2025-01-07 00:00:00,2025-01-07,1,0,1,OMR-Perungudi,Car,Rain,None,30,14,16,0.467,Low,32.47,Low
50,2025-01-07 03:00:00,2025-01-07,1,3,1,Velachery,Car,Clear,None,40,8,32,0.2,Low,24.95,Low
51,2025-01-07 06:00:00,2025-01-07,1,6,1,Guindy,Bike,Clear,None,30,11,19,0.367,Low,28.11,Low
52,2025-01-07 09:00:00,2025-01-07,1,9,1,Porur,SUV,Cloudy,None,60,36,24,0.6,Medium,36.94,Medium
53,2025-01-07 12:00:00,2025-01-07,1,12,1,OMR-Perungudi,Bike,Clear,None,100,30,70,0.3,Low,29.12,Low
54,2025-01-07 15:00:00,2025-01-07,1,15,1,Adyar,SUV,Clear,None,30,12,18,0.4,Low,31.26,Low
55,2025-01-07 18:00:00,2025-01-07,1,18,1,Tambaram,SUV,Clear,None,30,20,10,0.667,Medium,32.28,Medium
56,2025-01-07 21:00:00,2025-01-07,1,21,1,Anna Nagar,Car,Clear,Sale,30,19,11,0.633,Medium,34.37,Medium
57,2025-01-08 00:00:00,2025-01-08,2,0,1,Velachery,Bike,Rain,None,80,29,51,0.362,Low,27.86,Low
58,2025-01-08 03:00:00,2025-01-08,2,3,1,Velachery,SUV,Clear,None,80,26,54,0.325,Low,27.15,Low
59,2025-01-08 06:00:00,2025-01-08,2,6,1,Velachery,Bike,Clear,None,60,23,37,0.383,Low,28.12,Low
60,2025-01-08 09:00:00,2025-01-08,2,9,1,Porur,Bike,Clear,None,40,27,13,0.675,Medium,38.65,Medium
61,2025-01-08 12:00:00,2025-01-08,2,12,1,Guindy,Bike,Clear,None,40,12,28,0.3,Low,26.89,Low
62,2025-01-08 15:00:00,2025-01-08,2,15,1,Velachery,Car,Rain,None,30,12,18,0.4,Low,28.85,Low
63,2025-01-08 18:00:00,2025-01-08,2,18,1,Velachery,Bike,Clear,None,80,41,39,0.512,Low,30.67,Low
64,2025-01-08 21:00:00,2025-01-08,2,21,1,Velachery,SUV,Clear,None,40,10,30,0.25,Low,25.81,Low
65,2025-01-09 00:00:00,2025-01-09,3,0,1,Porur,SUV,Cloudy,Sale,80,52,28,0.65,Medium,37.93,Medium
66,2025-01-09 03:00:00,2025-01-09,3,3,1,T Nagar,SUV,Clear,Weekend,100,58,42,0.58,Medium,30.41,Medium
67,2025-01-09 06:00:00,2025-01-09,3,6,1,Velachery,SUV,Rain,None,40,17,23,0.425,Low,29.02,Low
68,2025-01-09 09:00:00,2025-01-09,3,9,1,OMR-Perungudi,SUV,Cloudy,None,40,28,12,0.7,Medium,37.7,Medium
69,2025-01-09 12:00:00,2025-01-09,3,12,1,Tambaram,SUV,Rain,None,40,18,22,0.45,Low,28.26,Low
70,2025-01-09 15:00:00,2025-01-09,3,15,1,Mylapore,Car,Cloudy,Weekend,50,22,28,0.44,Low,30.88,Low
71,2025-01-09 18:00:00,2025-01-09,3,18,1,Guindy,Car,Clear,None,50,31,19,0.62,Medium,32.89,Medium
72,2025-01-09 21:00:00,2025-01-09,3,21,1,Porur,Bike,Clear,Festival,40,31,9,0.775,Medium,40.7,Medium
73,2025-01-10 00:00:00,2025-01-10,4,0,1,OMR-Perungudi,SUV,Rain,None,30,13,17,0.433,Low,31.84,Low
74,2025-01-10 03:00:00,2025-01-10,4,3,1,Anna Nagar,SUV,Clear,None,80,38,42,0.475,Low,31.41,Low
75,2025-01-10 06:00:00,2025-01-10,4,6,1,Anna Nagar,Car,Clear,None,60,8,52,0.133,Low,24.78,Low
76,2025-01-10 09:00:00,2025-01-10,4,9,1,Tambaram,Bike,Cloudy,None,40,28,12,0.7,Medium,32.52,Medium
77,2025-01-10 12:00:00,2025-01-10,4,12,1,OMR-Perungudi,Car,Cloudy,Sale,60,35,25,0.583,Medium,35.15,Medium
78,2025-01-10 15:00:00,2025-01-10,4,15,1,Anna Nagar,SUV,Clear,Weekend,40,18,22,0.45,Low,30.83,Low
79,2025-01-10 18:00:00,2025-01-10,4,18,1,Tambaram,Car,Rain,Weekend,60,48,12,0.8,High,34.53,High
80,2025-01-10 21:00:00,2025-01-10,4,21,1,Porur,Car,Clear,Festival,40,20,20,0.5,Low,34.61,Low
81,2025-01-11 00:00:00,2025-01-11,5,0,1,Mylapore,Bike,Rain,None,40,24,16,0.6,Medium,33.73,Medium
82,2025-01-11 03:00:00,2025-01-11,5,3,1,Porur,Bike,Cloudy,None,40,24,16,0.6,Medium,36.71,Medium
83,2025-01-11 06:00:00,2025-01-11,5,6,1,Tambaram,Bike,Rain,Weekend,50,42,8,0.84,High,35.27,High
84,2025-01-11 09:00:00,2025-01-11,5,9,1,Tambaram,SUV,Cloudy,None,100,77,23,0.77,Medium,33.83,Medium
85,2025-01-11 12:00:00,2025-01-11,5,12,1,Tambaram,Car,Rain,None,30,16,14,0.533,Low,29.82,Low
86,2025-01-11 15:00:00,2025-01-11,5,15,1,Koyambedu,Bike,Clear,None,50,24,26,0.48,Low,34.58,Low
87,2025-01-11 18:00:00,2025-01-11,5,18,1,Tambaram,Bike,Clear,None,60,51,9,0.85,High,35.36,High
88,2025-01-11 21:00:00,2025-01-11,5,21,1,Koyambedu,Car,Cloudy,None,40,23,17,0.575,Medium,36.66,Medium
89,2025-01-12 00:00:00,2025-01-12,6,0,1,OMR-Perungudi,SUV,Rain,None,80,45,35,0.562,Medium,34.75,Medium
90,2025-01-12 03:00:00,2025-01-12,6,3,1,Adyar,Bike,Rain,None,50,33,17,0.66,Medium,36.48,Medium
91,2025-01-12 06:00:00,2025-01-12,6,6,1,Koyambedu,Bike,Clear,None,50,27,23,0.54,Low,35.62,Low
92,2025-01-12 09:00:00,2025-01-12,6,9,1,OMR-Perungudi,SUV,Clear,None,50,43,7,0.86,High,40.75,High
93,2025-01-12 12:00:00,2025-01-12,6,12,1,Porur,Bike,Clear,None,80,38,42,0.475,Low,34.23,Low
94,2025-01-12 15:00:00,2025-01-12,6,15,1,Anna Nagar,Car,Clear,None,80,40,40,0.5,Low,31.97,Low
95,2025-01-12 18:00:00,2025-01-12,6,18,1,Porur,SUV,Cloudy,None,50,39,11,0.78,Medium,40.82,Medium
96,2025-01-12 21:00:00,2025-01-12,6,21,1,Tambaram,SUV,Cloudy,None,60,27,33,0.45,Low,27.97,Low
97,2025-01-13 00:00:00,2025-01-13,0,0,1,Mylapore,SUV,Clear,None,100,37,63,0.37,Low,29.4,Low
98,2025-01-13 03:00:00,2025-01-13,0,3,1,Koyambedu,Car,Rain,None,50,23,27,0.46,Low,33.74,Low
99,2025-01-13 06:00:00,2025-01-13,0,6,1,Porur,Car,Clear,Weekend,40,19,21,0.475,Low,34.16,Low
100,2025-01-13 09:00:00,2025-01-13,0,9,1,Adyar,Bike,Cloudy,None,60,37,23,0.617,Medium,35.65,Medium
101,2025-01-13 12:00:00,2025-01-13,0,12,1,Guindy,Bike,Cloudy,None,100,27,73,0.27,Low,26.04,Low
102,2025-01-13 15:00:00,2025-01-13,0,15,1,Mylapore,Car,Cloudy,None,60,21,39,0.35,Low,28.86,Low
103,2025-01-13 18:00:00,2025-01-13,0,18,1,Velachery,SUV,Cloudy,None,60,36,24,0.6,Medium,32.39,Medium
104,2025-01-13 21:00:00,2025-01-13,0,21,1,OMR-Perungudi,Car,Clear,None,60,17,43,0.283,Low,28.92,Low
105,2025-01-14 00:00:00,2025-01-14,1,0,1,Mylapore,SUV,Cloudy,Weekend,40,19,21,0.475,Low,31.64,Low
106,2025-01-14 03:00:00,2025-01-14,1,3,1,Koyambedu,SUV,Rain,Sale,50,33,17,0.66,Medium,38.31,Medium
107,2025-01-14 06:00:00,2025-01-14,1,6,1,OMR-Perungudi,Car,Clear,Weekend,60,37,23,0.617,Medium,35.85,Medium
108,2025-01-14 09:00:00,2025-01-14,1,9,1,Mylapore,SUV,Clear,None,60,37,23,0.617,Medium,34.16,Medium
109,2025-01-14 12:00:00,2025-01-14,1,12,1,Porur,Bike,Clear,None,80,30,50,0.375,Low,32.01,Low
110,2025-01-14 15:00:00,2025-01-14,1,15,1,Velachery,Bike,Clear,None,100,34,66,0.34,Low,27.5,Low
111,2025-01-14 18:00:00,2025-01-14,1,18,1,OMR-Perungudi,SUV,Clear,None,30,13,17,0.433,Low,32.24,Low
112,2025-01-14 21:00:00,2025-01-14,1,21,1,Anna Nagar,Bike,Clear,None,100,35,65,0.35,Low,28.89,Low
113,2025-01-15 00:00:00,2025-01-15,2,0,1,OMR-Perungudi,Bike,Clear,None,60,21,39,0.35,Low,30.34,Low
114,2025-01-15 03:00:00,2025-01-15,2,3,1,Guindy,SUV,Clear,Weekend,80,53,27,0.662,Medium,33.61,Medium
115,2025-01-15 06:00:00,2025-01-15,2,6,1,Guindy,Bike,Clear,None,60,20,40,0.333,Low,27.32,Low
116,2025-01-15 09:00:00,2025-01-15,2,9,1,Guindy,SUV,Clear,Festival,80,74,6,0.925,High,38.47,High
117,2025-01-15 12:00:00,2025-01-15,2,12,1,Adyar,Car,Clear,None,60,21,39,0.35,Low,30.19,Low
118,2025-01-15 15:00:00,2025-01-15,2,15,1,Guindy,SUV,Cloudy,None,50,14,36,0.28,Low,26.41,Low
119,2025-01-15 18:00:00,2025-01-15,2,18,1,Anna Nagar,SUV,Rain,Weekend,60,53,7,0.883,High,39.65,High
120,2025-01-15 21:00:00,2025-01-15,2,21,1,T Nagar,Car,Cloudy,None,60,26,34,0.433,Low,27.92,Low
121,2025-01-16 00:00:00,2025-01-16,3,0,1,Guindy,Bike,Clear,Weekend,40,21,19,0.525,Low,31.08,Low
122,2025-01-16 03:00:00,2025-01-16,3,3,1,Guindy,Bike,Clear,None,50,14,36,0.28,Low,26.24,Low
123,2025-01-16 06:00:00,2025-01-16,3,6,1,Porur,Car,Clear,None,60,28,32,0.467,Low,33.98,Low
124,2025-01-16 09:00:00,2025-01-16,3,9,1,OMR-Perungudi,SUV,Clear,Sale,30,21,9,0.7,Medium,37.24,Medium
125,2025-01-16 12:00:00,2025-01-16,3,12,1,Velachery,Car,Clear,None,100,40,60,0.4,Low,28.5,Low
126,2025-01-16 15:00:00,2025-01-16,3,15,1,Adyar,Bike,Clear,None,30,16,14,0.533,Low,33.87,Low
127,2025-01-16 18:00:00,2025-01-16,3,18,1,Velachery,Bike,Clear,Weekend,80,51,29,0.637,Medium,33.11,Medium
128,2025-01-16 21:00:00,2025-01-16,3,21,1,Tambaram,SUV,Rain,None,40,15,25,0.375,Low,26.92,Low
129,2025-01-17 00:00:00,2025-01-17,4,0,1,Velachery,Car,Clear,Sale,40,22,18,0.55,Medium,31.55,Medium
130,2025-01-17 03:00:00,2025-01-17,4,3,1,Porur,Bike,Rain,None,80,31,49,0.388,Low,32.42,Low
131,2025-01-17 06:00:00,2025-01-17,4,6,1,Adyar,Car,Cloudy,None,30,8,22,0.267,Low,28.3,Low
132,2025-01-17 09:00:00,2025-01-17,4,9,1,Velachery,SUV,Rain,Festival,100,98,2,0.98,High,39.52,High
133,2025-01-17 12:00:00,2025-01-17,4,12,1,Velachery,Bike,Clear,Festival,80,45,35,0.562,Medium,31.68,Medium
134,2025-01-17 15:00:00,2025-01-17,4,15,1,Tambaram,Bike,Clear,None,30,12,18,0.4,Low,26.98,Low
135,2025-01-17 18:00:00,2025-01-17,4,18,1,Mylapore,Bike,Clear,None,30,16,14,0.533,Low,32.42,Low
136,2025-01-17 21:00:00,2025-01-17,4,21,1,Anna Nagar,SUV,Clear,None,60,28,32,0.467,Low,31.39,Low
137,2025-01-18 00:00:00,2025-01-18,5,0,1,Porur,Bike,Clear,Weekend,80,47,33,0.588,Medium,36.69,Medium
138,2025-01-18 03:00:00,2025-01-18,5,3,1,Mylapore,Bike,Clear,Weekend,60,37,23,0.617,Medium,34.36,Medium
139,2025-01-18 06:00:00,2025-01-18,5,6,1,Adyar,Bike,Clear,None,30,18,12,0.6,Medium,35.32,Medium
140,2025-01-18 09:00:00,2025-01-18,5,9,1,Koyambedu,Bike,Clear,None,80,55,25,0.688,Medium,38.72,Medium
141,2025-01-18 12:00:00,2025-01-18,5,12,1,Tambaram,Bike,Clear,None,40,22,18,0.55,Low,29.87,Low
142,2025-01-18 15:00:00,2025-01-18,5,15,1,Tambaram,Bike,Cloudy,Weekend,50,39,11,0.78,Medium,34.12,Medium
143,2025-01-18 18:00:00,2025-01-18,5,18,1,OMR-Perungudi,Car,Clear,None,30,20,10,0.667,Medium,36.48,Medium
144,2025-01-18 21:00:00,2025-01-18,5,21,1,Guindy,Bike,Clear,None,60,33,27,0.55,Low,31.3,Low
145,2025-01-19 00:00:00,2025-01-19,6,0,1,Mylapore,Car,Clear,Festival,60,51,9,0.85,High,38.85,High
146,2025-01-19 03:00:00,2025-01-19,6,3,1,Guindy,Bike,Cloudy,None,100,62,38,0.62,Medium,32.77,Medium
147,2025-01-19 06:00:00,2025-01-19,6,6,1,Mylapore,SUV,Clear,None,80,34,46,0.425,Low,30.53,Low
148,2025-01-19 09:00:00,2025-01-19,6,9,1,OMR-Perungudi,Bike,Clear,None,50,34,16,0.68,Medium,36.96,Medium
149,2025-01-19 12:00:00,2025-01-19,6,12,1,Porur,Car,Clear,None,40,23,17,0.575,Medium,36.35,Medium
150,2025-01-19 15:00:00,2025-01-19,6,15,1,OMR-Perungudi,Bike,Clear,None,100,55,45,0.55,Medium,34.46,Medium
151,2025-01-19 18:00:00,2025-01-19,6,18,1,Porur,SUV,Cloudy,None,100,83,17,0.83,High,41.93,High
152,2025-01-19 21:00:00,2025-01-19,6,21,1,Porur,Bike,Clear,Weekend,30,20,10,0.667,Medium,38.64,Medium
153,2025-01-20 00:00:00,2025-01-20,0,0,1,Anna Nagar,Bike,Clear,None,50,15,35,0.3,Low,27.85,Low
154,2025-01-20 03:00:00,2025-01-20,0,3,1,T Nagar,Car,Cloudy,None,30,12,18,0.4,Low,27.17,Low
155,2025-01-20 06:00:00,2025-01-20,0,6,1,Mylapore,Bike,Clear,Weekend,30,15,15,0.5,Low,31.77,Low
156,2025-01-20 09:00:00,2025-01-20,0,9,1,Mylapore,Bike,Rain,None,60,37,23,0.617,Medium,34.33,Medium
157,2025-01-20 12:00:00,2025-01-20,0,12,1,Mylapore,Car,Clear,Weekend,30,19,11,0.633,Medium,34.26,Medium
158,2025-01-20 15:00:00,2025-01-20,0,15,1,Koyambedu,SUV,Clear,None,100,39,61,0.39,Low,32.38,Low
159,2025-01-20 18:00:00,2025-01-20,0,18,1,Porur,Bike,Clear,Sale,30,21,9,0.7,Medium,39.22,Medium
160,2025-01-20 21:00:00,2025-01-20,0,21,1,Koyambedu,SUV,Clear,Festival,80,56,24,0.7,Medium,39.17,Medium
161,2025-01-21 00:00:00,2025-01-21,1,0,1,Guindy,SUV,Clear,Weekend,60,24,36,0.4,Low,28.41,Low
162,2025-01-21 03:00:00,2025-01-21,1,3,1,Guindy,SUV,Clear,None,50,21,29,0.42,Low,28.81,Low
163,2025-01-21 06:00:00,2025-01-21,1,6,1,Velachery,Car,Clear,None,40,18,22,0.45,Low,29.37,Low
164,2025-01-21 09:00:00,2025-01-21,1,9,1,Anna Nagar,Car,Clear,None,40,21,19,0.525,Low,32.58,Low
165,2025-01-21 12:00:00,2025-01-21,1,12,1,Guindy,Car,Clear,None,60,26,34,0.433,Low,29.07,Low
166,2025-01-21 15:00:00,2025-01-21,1,15,1,Adyar,Bike,Cloudy,None,50,21,29,0.42,Low,31.55,Low
167,2025-01-21 18:00:00,2025-01-21,1,18,1,Velachery,SUV,Clear,None,100,67,33,0.67,Medium,33.58,Medium
168,2025-01-21 21:00:00,2025-01-21,1,21,1,Koyambedu,Car,Clear,Weekend,100,62,38,0.62,Medium,37.43,Medium
169,2025-01-22 00:00:00,2025-01-22,2,0,1,OMR-Perungudi,Car,Rain,None,40,16,24,0.4,Low,31.49,Low
170,2025-01-22 03:00:00,2025-01-22,2,3,1,Velachery,SUV,Clear,None,30,9,21,0.3,Low,26.48,Low
171,2025-01-22 06:00:00,2025-01-22,2,6,1,Koyambedu,Bike,Clear,None,50,14,36,0.28,Low,30.02,Low
172,2025-01-22 09:00:00,2025-01-22,2,9,1,Guindy,Car,Clear,None,50,27,23,0.54,Low,31.11,Low
173,2025-01-22 12:00:00,2025-01-22,2,12,1,Koyambedu,SUV,Cloudy,Weekend,30,15,15,0.5,Low,34.67,Low
174,2025-01-22 15:00:00,2025-01-22,2,15,1,Porur,SUV,Rain,None,30,14,16,0.467,Low,33.88,Low
175,2025-01-22 18:00:00,2025-01-22,2,18,1,Koyambedu,Bike,Cloudy,Sale,30,26,4,0.867,High,42.41,High
176,2025-01-22 21:00:00,2025-01-22,2,21,1,Koyambedu,SUV,Clear,Festival,30,21,9,0.7,Medium,39.47,Medium
177,2025-01-23 00:00:00,2025-01-23,3,0,1,Mylapore,SUV,Clear,None,50,18,32,0.36,Low,28.95,Low
178,2025-01-23 03:00:00,2025-01-23,3,3,1,Mylapore,Bike,Clear,None,30,14,16,0.467,Low,31.23,Low
179,2025-01-23 06:00:00,2025-01-23,3,6,1,Velachery,Bike,Cloudy,None,40,14,26,0.35,Low,27.78,Low
180,2025-01-23 09:00:00,2025-01-23,3,9,1,Guindy,Bike,Clear,None,80,65,15,0.812,High,36.45,High
181,2025-01-23 12:00:00,2025-01-23,3,12,1,Tambaram,SUV,Clear,Sale,30,18,12,0.6,Medium,30.8,Medium
182,2025-01-23 15:00:00,2025-01-23,3,15,1,T Nagar,Car,Clear,Weekend,100,40,60,0.4,Low,27.23,Low
183,2025-01-23 18:00:00,2025-01-23,3,18,1,Adyar,SUV,Cloudy,None,80,44,36,0.55,Low,34.27,Low
184,2025-01-23 21:00:00,2025-01-23,3,21,1,Mylapore,Bike,Clear,None,30,12,18,0.4,Low,29.69,Low
185,2025-01-24 00:00:00,2025-01-24,4,0,1,Mylapore,SUV,Clear,None,100,33,67,0.33,Low,28.58,Low
186,2025-01-24 03:00:00,2025-01-24,4,3,1,Koyambedu,Car,Clear,None,40,16,24,0.4,Low,32.79,Low
187,2025-01-24 06:00:00,2025-01-24,4,6,1,OMR-Perungudi,Car,Rain,None,60,28,32,0.467,Low,32.68,Low
188,2025-01-24 09:00:00,2025-01-24,4,9,1,Mylapore,SUV,Clear,None,30,18,12,0.6,Medium,33.76,Medium
189,2025-01-24 12:00:00,2025-01-24,4,12,1,Porur,Bike,Clear,None,80,23,57,0.287,Low,30.1,Low
190,2025-01-24 15:00:00,2025-01-24,4,15,1,Mylapore,Car,Clear,None,40,9,31,0.225,Low,26.53,Low
191,2025-01-24 18:00:00,2025-01-24,4,18,1,Koyambedu,Car,Clear,Festival,80,69,11,0.863,High,42.67,High
192,2025-01-24 21:00:00,2025-01-24,4,21,1,Porur,Bike,Cloudy,None,60,27,33,0.45,Low,33.69,Low
193,2025-01-25 00:00:00,2025-01-25,5,0,1,T Nagar,SUV,Cloudy,Festival,50,44,6,0.88,High,35.79,High
194,2025-01-25 03:00:00,2025-01-25,5,3,1,Mylapore,Bike,Clear,None,40,17,23,0.425,Low,30.52,Low
195,2025-01-25 06:00:00,2025-01-25,5,6,1,OMR-Perungudi,Car,Rain,None,80,50,30,0.625,Medium,35.91,Medium
196,2025-01-25 09:00:00,2025-01-25,5,9,1,Adyar,Bike,Rain,None,80,71,9,0.887,High,41.44,High
197,2025-01-25 12:00:00,2025-01-25,5,12,1,T Nagar,Bike,Cloudy,Festival,50,39,11,0.78,Medium,34.21,Medium
198,2025-01-25 15:00:00,2025-01-25,5,15,1,Guindy,Car,Cloudy,Festival,100,87,13,0.87,High,37.49,High
199,2025-01-25 18:00:00,2025-01-25,5,18,1,Mylapore,Bike,Rain,None,30,26,4,0.867,High,39.12,High
200,2025-01-25 21:00:00,2025-01-25,5,21,1,Velachery,Car,Rain,None,60,31,29,0.517,Low,30.8,Low
201,2025-01-26 00:00:00,2025-01-26,6,0,1,Anna Nagar,Car,Rain,Weekend,60,46,14,0.767,Medium,37.02,Medium
202,2025-01-26 03:00:00,2025-01-26,6,3,1,Mylapore,SUV,Cloudy,None,50,30,20,0.6,Medium,33.98,Medium
203,2025-01-26 06:00:00,2025-01-26,6,6,1,Velachery,Bike,Rain,Weekend,50,41,9,0.82,High,36.43,High
204,2025-01-26 09:00:00,2025-01-26,6,9,1,Tambaram,SUV,Cloudy,None,100,89,11,0.89,High,36.1,High
205,2025-01-26 12:00:00,2025-01-26,6,12,1,T Nagar,Bike,Cloudy,None,80,36,44,0.45,Low,28.1,Low
206,2025-01-26 15:00:00,2025-01-26,6,15,1,Adyar,SUV,Rain,None,100,53,47,0.53,Low,34.07,Low
207,2025-01-26 18:00:00,2025-01-26,6,18,1,Velachery,Car,Clear,None,60,49,11,0.817,High,36.52,High
208,2025-01-26 21:00:00,2025-01-26,6,21,1,T Nagar,Bike,Clear,Festival,50,44,6,0.88,High,35.68,High
209,2025-01-27 00:00:00,2025-01-27,0,0,1,Guindy,SUV,Clear,None,40,16,24,0.4,Low,28.39,Low
210,2025-01-27 03:00:00,2025-01-27,0,3,1,Anna Nagar,Bike,Cloudy,None,40,28,12,0.7,Medium,35.63,Medium
211,2025-01-27 06:00:00,2025-01-27,0,6,1,Koyambedu,Car,Rain,None,100,48,52,0.48,Low,34.27,Low
